"course_code","course_name_en","credit_hours","lecture_hours","lab_hours","category","plan_source"
"0030301110","Remedial Arabic Language",0,3,0,"University Requirement (Remedial)","CS-Technical"
"0030301120","Pre-Foundation English Intensive + Lab",0,4,0,"University Requirement (Remedial)","CS-Technical"
"0030303110","Remedial Math",0,2,0,"University Requirement (Remedial)","CS-Technical"
"0030301111","Arabic Language & Communication Skills",1,3,0,"University Compulsory","CS-Technical"
"0030301121","English Pre-Intermediate Intensive + Lab",4,4,0,"University Compulsory","CS-Technical"
"0030301122","English Intermediate",3,4,0,"University Compulsory","CS-Technical"
"0030301123","English Upper-Intermediate",3,4,0,"University Compulsory","CS-Technical"
"0040302111","Professional Skills",1,1,0,"University Compulsory","CS-Technical"
"0030302129","Military Sciences",1,1,0,"University Compulsory","CS-Technical"
"0040302211","Professional Practice",3,4,0,"University Compulsory","CS-Technical"
"0040302231","Entrepreneurship Bootcamp",4,8,0,"University Compulsory","CS-Technical"
"0030301222","Research and Technical Writing",1,3,0,"University Elective","CS-Technical"
"0030302121","Science and Society Seminar I",1,3,0,"University Elective","CS-Technical"
"0030302122","Arab Contributions to Science and Art",1,3,0,"University Elective","CS-Technical"
"0030302133","Jerusalem: History and Civilization",1,3,0,"University Elective","CS-Technical"
"0030302134","Jordan: History and Civilization",1,3,0,"University Elective","CS-Technical"
"0040302221","Speech and Debate",1,2,0,"University Elective","CS-Technical"
"0000302222","Intro to Philosophy and Critical Thinking",1,2,0,"University Elective","CS-Technical"
"0030302237","Free Choice Elective I",1,0,0,"University Elective","CS-Technical"
"0040303130","Fundamentals of Computing",4,6,0,"College Compulsory","CS-Technical"
"0030303111","Functional Math",3,3,0,"College Compulsory","CS-Technical"
"0030303121","STEM Lab I",1,0,3,"College Compulsory","CS-Technical"
"0040303121","Maths for Computing",3,4,0,"College Compulsory","CS-Technical"
"0040201100","Programming",3,4,0,"College Compulsory","CS-Technical"
"0040201290","Computing Project Planning",4,4,0,"College Compulsory","CS-Technical"
"0040303221","Discrete Maths",3,4,0,"College Compulsory","CS-Technical"
"0000201291","Apprenticeship for Computer Science 1",6,0,6,"Market Requirement","CS-Technical"
"0000201292","Apprenticeship for Computer Science 2",6,0,6,"Market Requirement","CS-Technical"
"0000201392","Apprenticeship for Computer Science 3",6,0,6,"Market Requirement","CS-Technical"
"0040201200","Advanced Programming",3,4,0,"Major Compulsory","CS-Technical"
"0040201201","Data Structures and Algorithms",3,4,0,"Major Compulsory","CS-Technical"
"0040201220","Software Development Lifecycles",3,4,0,"Major Compulsory","CS-Technical"
"0040201260","Website Design and Development",3,4,0,"Major Compulsory","CS-Technical"
"0040201261","Prototyping",3,4,0,"Major Compulsory","CS-Technical"
"0040201321","Systems Analysis and Design",3,4,0,"Major Compulsory","CS-Technical"
"0040201341","Operating Systems",3,4,0,"Major Compulsory","CS-Technical"
"0040201360","Application Development",3,4,0,"Major Compulsory","CS-Technical"
"0000201391","Computing Research Project",6,6,0,"Major Compulsory","CS-Technical"
"0010203180","Networking",3,4,0,"Major Compulsory","CS-Technical"
"0000203280","Security",3,4,0,"Major Compulsory","CS-Technical"
"0010203380","Computer Organization and Design",3,4,0,"Major Compulsory","CS-Technical"
"0010204282","Database Design and Development",3,4,0,"Major Compulsory","CS-Technical"
"0000204313","Business Process Support",3,4,0,"Major Compulsory","CS-Technical"
